;genome;number_of_records;unknown;staphyloferrin A;staphyloferrin B;staphylopine
GCF_022690205.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_014266505.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_001077185.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_014265095.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_003042385.1;Staphylococcus hominis;2;0;[25.0, 50.0];0;0
GCF_018456105.1;Staphylococcus hominis subsp. novobiosepticus;1;0;75.0;0;0
GCF_001815595.1;Staphylococcus sp. HMSC070D05;1;0;75.0;0;0
GCF_001813045.1;Staphylococcus sp. HMSC063F02;1;0;75.0;0;0
GCF_022690345.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_022689965.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_002951505.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_007681815.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_007681605.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_007681535.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_900006855.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_014265025.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_001876405.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_029926905.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_022689845.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_014265005.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_003812505.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_900006745.1;Staphylococcus hominis;1;0;75.0;0;0
GCA_005768675.1;Staphylococcus hominis;0;0;0;0;0
GCF_020740115.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_021366635.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_012273435.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_014265125.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_007814725.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_007681325.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_001814125.1;Staphylococcus sp. HMSC072E01;1;0;75.0;0;0
GCF_018919365.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_001691635.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_000174735.1;Staphylococcus hominis SK119;1;0;75.0;0;0
GCF_022689765.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_900006845.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_003579665.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_010093095.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_007676545.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_012102295.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_022690425.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_022690385.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_005502385.1;Staphylococcus sp. L2B;1;0;75.0;0;0
GCF_017315625.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_947495435.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_007676585.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_001835895.1;Staphylococcus sp. HMSC034C12;1;0;75.0;0;0
GCF_014266525.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_027689245.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_007681865.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_001069485.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_001809735.1;Staphylococcus sp. HMSC074B09;1;0;75.0;0;0
GCF_001809815.1;Staphylococcus sp. HMSC068D07;1;0;75.0;0;0
GCF_015274585.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_003579635.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_002850375.1;Staphylococcus hominis subsp. hominis;1;0;75.0;0;0
GCF_022689825.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_000556525.1;Staphylococcus sp. M0480;1;0;75.0;0;0
GCF_007672105.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_007672225.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_002799365.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_900119525.1;Staphylococcus hominis;1;0;75.0;0;0
GCF_022689905.1;Staphylococcus hominis;1;0;75.0;0;0
