accession_code,assembly_level
GCF_025558605.1,Complete Genome
GCF_027689095.1,Scaffold
GCF_027689115.1,Scaffold
GCF_027689165.1,Scaffold
GCF_027689215.1,Scaffold
GCF_027689245.1,Scaffold
GCF_027689395.1,Scaffold
GCF_027689655.1,Scaffold
GCF_027689675.1,Scaffold
GCF_029926865.1,Contig
GCF_029926905.1,Contig
GCF_029926915.1,Contig
GCF_030217525.1,Contig
GCF_030225055.1,Contig
GCF_030503475.1,Contig
GCF_030503485.1,Contig
GCF_030503505.1,Contig
GCF_030503545.1,Contig
GCF_030540895.1,Contig
GCF_030715945.1,Contig
GCF_900006675.1,Contig
GCF_900006735.1,Scaffold
GCF_900006745.1,Scaffold
GCF_900006845.1,Scaffold
GCF_900006855.1,Scaffold
GCF_900006865.1,Scaffold
GCF_900006945.1,Scaffold
GCF_900033555.1,Scaffold
GCF_900109865.1,Contig
GCF_900119525.1,Scaffold
GCF_900240155.1,Chromosome
GCF_900240185.1,Chromosome
GCF_900458635.1,Contig
GCF_900458745.1,Contig
GCF_947495435.1,Contig
