accession_code,assembly_level
GCF_001068455.1,Contig
GCF_001068475.1,Scaffold
GCF_001068495.1,Scaffold
GCF_001068505.1,Contig
GCF_001068545.1,Scaffold
GCF_001068575.1,Scaffold
GCF_001068585.1,Scaffold
GCF_001068635.1,Scaffold
GCF_001068845.1,Scaffold
GCF_001068895.1,Contig
GCF_001068995.1,Scaffold
GCF_001069075.1,Scaffold
GCF_001069095.1,Scaffold
GCF_001069215.1,Scaffold
GCF_001069275.1,Scaffold
GCF_001069375.1,Scaffold
GCF_001069395.1,Scaffold
GCF_001069515.1,Contig
GCF_001069525.1,Contig
GCF_001069845.1,Scaffold
GCF_001069925.1,Scaffold
GCF_001069955.1,Contig
GCF_001069965.1,Contig
GCF_001069995.1,Contig
GCF_001070025.1,Scaffold
GCF_001070075.1,Contig
GCF_001070155.1,Contig
GCF_001070245.1,Contig
GCF_001070255.1,Scaffold
GCF_001070315.1,Scaffold
GCF_001070395.1,Scaffold
GCF_001070415.1,Scaffold
GCF_001070485.1,Contig
GCF_001070505.1,Contig
GCF_001070565.1,Scaffold
GCF_001070675.1,Scaffold
GCF_001070695.1,Scaffold
GCF_001070735.1,Contig
GCF_001071125.1,Scaffold
GCF_001071215.1,Scaffold
GCF_001071395.1,Scaffold
GCF_001071425.1,Scaffold
GCF_001071485.1,Scaffold
GCF_001071495.1,Contig
GCF_001071515.1,Scaffold
GCF_001071565.1,Scaffold
GCF_001071635.1,Scaffold
GCF_001071645.1,Scaffold
GCF_001071665.1,Scaffold
GCF_001071895.1,Contig
GCF_001071935.1,Contig
GCF_001072065.1,Scaffold
GCF_001072135.1,Scaffold
GCF_001072245.1,Scaffold
GCF_001072495.1,Scaffold
GCF_001072555.1,Scaffold
GCF_001072575.1,Scaffold
GCF_001072595.1,Scaffold
GCF_001072715.1,Contig
GCF_001072775.1,Scaffold
GCF_001072795.1,Scaffold
GCF_001072875.1,Scaffold
GCF_001072885.1,Scaffold
GCF_001072995.1,Scaffold
GCF_001073035.1,Contig
GCF_001073075.1,Scaffold
GCF_001073115.1,Scaffold
GCF_001073215.1,Scaffold
GCF_001073305.1,Scaffold
GCF_001073395.1,Scaffold
GCF_001073435.1,Contig
GCF_001073485.1,Scaffold
GCF_001073515.1,Contig
GCF_001073535.1,Scaffold
GCF_001073595.1,Scaffold
GCF_001073655.1,Scaffold
GCF_001073675.1,Scaffold
GCF_001073685.1,Scaffold
GCF_001073765.1,Scaffold
GCF_001073795.1,Scaffold
GCF_001073845.1,Scaffold
GCF_001073875.1,Contig
GCF_001073895.1,Contig
GCF_001073995.1,Contig
GCF_001074075.1,Scaffold
GCF_001074435.1,Scaffold
GCF_001074445.1,Scaffold
GCF_001074495.1,Contig
GCF_001074505.1,Contig
GCF_001074555.1,Scaffold
GCF_001074715.1,Scaffold
GCF_001074755.1,Contig
GCF_001074955.1,Scaffold
GCF_001075025.1,Scaffold
GCF_001075055.1,Scaffold
GCF_001075065.1,Scaffold
GCF_001075105.1,Scaffold
GCF_001075135.1,Scaffold
GCF_001075165.1,Contig
GCF_001075235.1,Contig
GCF_001075395.1,Scaffold
GCF_001075405.1,Contig
GCF_001075435.1,Scaffold
GCF_001075515.1,Scaffold
GCF_001075525.1,Scaffold
GCF_001075555.1,Contig
GCF_001075575.1,Contig
GCF_001075605.1,Contig
GCF_001075775.1,Scaffold
GCF_001075795.1,Scaffold
GCF_001075805.1,Scaffold
GCF_001075835.1,Contig
GCF_001075855.1,Scaffold
GCF_001075885.1,Scaffold
GCF_001075945.1,Contig
GCF_001075955.1,Scaffold
GCF_001076005.1,Scaffold
GCF_001076045.1,Contig
GCF_001076185.1,Scaffold
GCF_001076265.1,Scaffold
GCF_001076465.1,Scaffold
GCF_001076495.1,Scaffold
GCF_001076655.1,Scaffold
GCF_001077065.1,Scaffold
GCF_001077145.1,Scaffold
GCF_001412455.1,Contig
GCF_001431005.1,Contig
GCF_001457235.1,Contig
GCF_001465365.1,Contig
GCF_001465375.1,Contig
GCF_001465385.1,Contig
GCF_001469315.1,Scaffold
GCF_001469325.1,Contig
GCF_001469335.1,Contig
GCF_001473265.2,Contig
GCF_001476515.1,Contig
GCF_001476525.1,Contig
GCF_001516785.1,Scaffold
GCF_001622455.1,Contig
GCF_001622495.1,Contig
GCF_001622545.1,Contig
GCF_001622555.1,Contig
GCF_001622605.1,Contig
GCF_001622625.1,Contig
GCF_001622635.1,Contig
GCF_001622665.1,Contig
GCF_001622685.1,Contig
GCF_001622695.1,Contig
GCF_001622705.1,Contig
GCF_001622715.1,Contig
GCF_001622755.1,Contig
GCF_001622805.1,Contig
GCF_001622825.1,Contig
GCF_001622835.1,Contig
GCF_001622875.1,Contig
GCF_001622905.1,Contig
GCF_001651265.1,Contig
GCF_001658445.1,Contig
GCF_001658455.1,Contig
GCF_001658465.1,Contig
GCF_001658475.1,Contig
GCF_001658525.1,Contig
GCF_001658535.1,Contig
GCF_001658555.1,Contig
GCF_001658565.1,Contig
GCF_001658635.1,Contig
GCF_001658705.1,Contig
GCF_001658715.1,Contig
GCF_001658725.1,Contig
GCF_001658785.1,Contig
GCF_001658805.1,Contig
GCF_001658815.1,Contig
GCF_001658865.1,Contig
GCF_001658895.1,Contig
GCF_001658905.1,Contig
GCF_001658945.1,Contig
GCF_001658985.1,Contig
GCF_001658995.1,Contig
GCF_001659025.1,Contig
GCF_001659045.1,Contig
GCF_001659065.1,Contig
GCF_001659075.1,Contig
GCF_001659105.1,Contig
GCF_001659125.1,Contig
GCF_001659145.1,Contig
GCF_001659165.1,Contig
GCF_001659185.1,Contig
GCF_001659205.1,Contig
GCF_001659225.1,Contig
GCF_001659235.1,Contig
GCF_001659245.1,Contig
GCF_001659255.1,Contig
GCF_001659315.1,Contig
GCF_001659345.1,Contig
GCF_001659355.1,Contig
GCF_001659395.1,Contig
GCF_001659425.1,Contig
GCF_001659475.1,Contig
GCF_001659505.1,Contig
GCF_001659515.1,Contig
GCF_001662155.1,Contig
GCF_001662165.1,Contig
GCF_001662175.1,Contig
GCF_001662225.1,Contig
GCF_001662985.1,Contig
GCF_001663015.1,Contig
GCF_001663025.1,Contig
GCF_001683645.1,Contig
GCF_001809495.1,Scaffold
GCF_001810435.1,Scaffold
GCF_001810625.1,Scaffold
GCF_001810985.1,Scaffold
GCF_001811475.1,Scaffold
GCF_001812215.1,Scaffold
GCF_001812315.1,Scaffold
GCF_001812445.1,Scaffold
GCF_001813195.1,Scaffold
GCF_001813245.1,Scaffold
GCF_001813255.1,Scaffold
GCF_001813975.1,Scaffold
GCF_001814155.1,Scaffold
GCF_001815115.1,Scaffold
GCF_001815825.1,Scaffold
GCF_001835815.1,Scaffold
GCF_001836145.1,Scaffold
GCF_001836495.1,Scaffold
GCF_001837035.1,Scaffold
GCF_001837075.1,Scaffold
GCF_001837535.1,Scaffold
GCF_001837825.1,Scaffold
GCF_001837885.1,Scaffold
GCF_001837915.1,Scaffold
GCF_001837945.1,Scaffold
GCF_001837975.1,Scaffold
GCF_001838765.1,Scaffold
GCF_001956655.1,Complete Genome
GCF_001999745.1,Contig
GCF_002085695.1,Complete Genome
GCF_002087975.1,Scaffold
GCF_002156425.1,Scaffold
GCF_002215535.1,Complete Genome
GCF_002221915.1,Contig
GCF_002221945.1,Contig
GCF_002288605.1,Contig
GCF_002417645.1,Contig
GCF_002749455.1,Chromosome
GCF_002749515.1,Chromosome
GCF_002750015.1,Scaffold
GCF_002750035.1,Scaffold
GCF_002750045.1,Scaffold
GCF_002750095.1,Scaffold
GCF_002750115.1,Scaffold
GCF_002750125.1,Scaffold
GCF_002750145.1,Scaffold
GCF_002750175.1,Scaffold
GCF_002750185.1,Scaffold
GCF_002750215.1,Scaffold
GCF_002750225.1,Contig
GCF_002750255.1,Scaffold
GCF_002750265.1,Scaffold
GCF_002750305.2,Scaffold
GCF_002750335.1,Scaffold
GCF_002750345.1,Scaffold
GCF_002750355.1,Scaffold
GCF_002750395.1,Scaffold
GCF_002752825.1,Scaffold
GCF_002752835.2,Scaffold
GCF_002799485.1,Contig
GCF_002799505.1,Contig
GCF_002799565.1,Contig
GCF_002835575.1,Scaffold
GCF_002850315.1,Complete Genome
GCF_002901875.1,Scaffold
GCF_002944995.1,Complete Genome
GCF_003035325.1,Contig
GCF_003035345.1,Contig
GCF_003035385.1,Contig
GCF_003035685.1,Contig
GCF_003038655.1,Contig
GCF_003086175.2,Scaffold
GCF_003119275.1,Chromosome
GCF_003325735.1,Complete Genome
GCF_003384245.1,Contig
GCF_003426645.1,Contig
GCF_003577845.1,Contig
GCF_003578055.1,Contig
GCF_003578065.1,Contig
GCF_003687015.1,Scaffold
GCF_003687035.1,Scaffold
GCF_003687055.1,Scaffold
GCF_003687085.1,Scaffold
GCF_003687255.1,Scaffold
GCF_003687275.1,Scaffold
GCF_003687295.1,Scaffold
GCF_003687365.1,Scaffold
GCF_003687395.1,Scaffold
GCF_003725355.1,Contig
GCF_003812425.1,Complete Genome
GCF_003856395.1,Complete Genome
GCF_003856455.1,Complete Genome
GCF_003859985.1,Contig
GCF_003860105.1,Scaffold
GCF_003956755.1,Contig
GCF_003956765.1,Contig
GCF_003956775.1,Contig
GCF_003956785.1,Contig
GCF_003956805.1,Contig
GCF_003956855.1,Contig
GCF_003956885.1,Contig
GCF_003956905.1,Contig
GCF_003956955.1,Contig
GCF_003956965.1,Contig
GCF_003956995.1,Contig
GCF_003957035.1,Contig
GCF_003979615.1,Contig
GCF_003979655.1,Contig
GCF_003979695.1,Contig
GCF_003979865.1,Contig
GCF_003979965.1,Contig
GCF_003980055.1,Contig
GCF_003980155.1,Contig
GCF_003980205.1,Contig
GCF_003980275.1,Contig
GCF_003980285.1,Contig
GCF_004323055.1,Contig
GCF_004323075.1,Contig
GCF_004323085.1,Contig
GCF_004374765.1,Contig
GCF_004374915.1,Contig
GCF_004374925.1,Contig
GCF_004374965.1,Contig
GCF_004374995.1,Contig
GCF_004375005.1,Contig
GCF_004920265.1,Contig
GCF_005760475.1,Contig
GCF_005760495.1,Contig
GCF_006094375.1,Complete Genome
GCF_006151885.1,Contig
GCF_006337185.1,Chromosome
GCF_006337205.1,Chromosome
GCF_006337225.1,Chromosome
GCF_006742205.1,Complete Genome
GCF_007665715.1,Scaffold
GCF_007665785.1,Scaffold
GCF_007665825.1,Scaffold
GCF_007666105.1,Scaffold
GCF_007666125.1,Scaffold
GCF_007666195.1,Scaffold
GCF_007666305.1,Scaffold
GCF_007666345.1,Scaffold
GCF_007666395.1,Scaffold
GCF_007666445.1,Scaffold
GCF_007666585.1,Scaffold
GCF_007666595.1,Scaffold
GCF_007666645.1,Scaffold
GCF_007666715.1,Scaffold
GCF_007666855.1,Scaffold
GCF_007666885.1,Scaffold
GCF_007666895.1,Scaffold
GCF_007666905.1,Scaffold
GCF_007666985.1,Scaffold
GCF_007667095.1,Scaffold
GCF_007667145.1,Scaffold
GCF_007667225.1,Scaffold
GCF_007667235.1,Scaffold
GCF_007667255.1,Scaffold
GCF_007667315.1,Scaffold
GCF_007667755.1,Scaffold
GCF_007667855.1,Scaffold
GCF_007668135.1,Scaffold
GCF_007672405.1,Scaffold
GCF_007672455.1,Scaffold
GCF_007672775.1,Scaffold
GCF_007672825.1,Scaffold
GCF_007672965.1,Scaffold
GCF_007673315.1,Scaffold
GCF_007673505.1,Scaffold
GCF_007673575.1,Scaffold
GCF_007673825.1,Scaffold
GCF_007674005.1,Scaffold
GCF_007674185.1,Scaffold
GCF_007676715.1,Scaffold
GCF_007677005.1,Scaffold
GCF_007677025.1,Scaffold
GCF_007677235.1,Scaffold
GCF_007677255.1,Scaffold
GCF_007677315.1,Scaffold
GCF_007677575.1,Scaffold
GCF_007677635.1,Scaffold
GCF_007678095.1,Scaffold
GCF_007678155.1,Scaffold
GCF_007678185.1,Scaffold
GCF_007678235.1,Scaffold
GCF_007678315.1,Scaffold
GCF_007678355.1,Scaffold
GCF_007678415.1,Scaffold
GCF_007678685.1,Contig
GCF_007678735.1,Scaffold
GCF_007678985.1,Scaffold
GCF_007679125.1,Scaffold
GCF_008726255.1,Contig
GCF_008726465.1,Contig
GCF_008726735.1,Contig
GCF_008726775.1,Contig
GCF_008726905.1,Contig
GCF_008727015.1,Contig
GCF_008922045.1,Contig
GCF_008922095.1,Contig
GCF_008922115.1,Contig
GCF_008922155.1,Contig
GCF_008922165.1,Contig
GCF_008922175.1,Contig
GCF_008922205.1,Contig
GCF_008922245.1,Contig
GCF_008922285.1,Contig
GCF_008922315.1,Contig
GCF_008922345.1,Contig
GCF_008922365.1,Contig
GCF_008922375.1,Contig
GCF_008922385.1,Contig
GCF_008922415.1,Contig
GCF_008922445.1,Contig
GCF_008922455.1,Contig
GCF_008922485.1,Contig
GCF_008922505.1,Contig
GCF_008922525.1,Contig
GCF_008922545.1,Contig
GCF_008922555.1,Contig
GCF_008922565.1,Contig
GCF_008922605.1,Contig
GCF_008922615.1,Contig
GCF_008922645.1,Contig
GCF_008922655.1,Contig
GCF_008922665.1,Contig
GCF_008922695.1,Contig
GCF_008922725.1,Contig
GCF_008922745.1,Contig
GCF_008922755.1,Contig
GCF_008922785.1,Contig
GCF_008922795.1,Contig
GCF_008922805.1,Contig
GCF_008922845.1,Contig
GCF_008922855.1,Contig
GCF_008922885.1,Contig
GCF_008922895.1,Contig
GCF_008922925.1,Contig
GCF_008922945.1,Contig
GCF_008922955.1,Contig
GCF_008922985.1,Contig
GCF_008922995.1,Contig
GCF_008923005.1,Contig
GCF_008923045.1,Contig
GCF_008923065.1,Contig
GCF_008923075.1,Contig
GCF_008923085.1,Contig
GCF_008923125.1,Contig
GCF_008923145.1,Contig
GCF_009026045.1,Contig
GCF_009026065.1,Contig
GCF_009026095.1,Contig
GCF_009663955.1,Contig
GCF_009685135.1,Complete Genome
GCF_009757165.1,Contig
GCF_009757185.1,Scaffold
GCF_009765515.1,Contig
GCF_009769015.1,Complete Genome
GCF_009769125.1,Complete Genome
GCF_009873455.1,Complete Genome
GCF_009896645.1,Contig
GCF_009896875.1,Contig
GCF_009896905.1,Contig
GCF_009896915.1,Contig
GCF_009896965.1,Contig
GCF_009896975.1,Contig
GCF_009897005.1,Contig
GCF_009897025.1,Contig
GCF_009897035.1,Contig
GCF_009897065.1,Contig
GCF_009897075.1,Contig
GCF_009897085.1,Contig
GCF_009897125.1,Contig
GCF_009897145.1,Contig
GCF_009897165.1,Contig
GCF_009897185.1,Contig
GCF_009897195.1,Contig
GCF_009897225.1,Contig
GCF_009897235.1,Contig
GCF_009897265.1,Contig
GCF_009897305.1,Contig
GCF_009897315.1,Contig
GCF_009897335.1,Contig
GCF_009897365.1,Contig
GCF_009897375.1,Contig
GCF_009897425.1,Contig
GCF_009897435.1,Contig
GCF_009897505.1,Contig
GCF_009897515.1,Contig
GCF_009897605.1,Contig
GCF_009897625.1,Contig
GCF_009897655.1,Contig
GCF_009897685.1,Contig
GCF_009897805.1,Contig
GCF_009897825.1,Contig
GCF_009897905.1,Contig
GCF_009897925.1,Contig
GCF_009897935.1,Contig
GCF_009897945.1,Contig
GCF_009897975.1,Contig
GCF_009898025.1,Contig
GCF_009898055.1,Contig
GCF_009898075.1,Contig
GCF_009898115.1,Contig
GCF_009898145.1,Contig
GCF_011038575.1,Complete Genome
GCF_011306595.1,Chromosome
GCF_011306775.1,Chromosome
GCF_011307015.1,Chromosome
GCF_011307235.1,Chromosome
GCF_011307475.1,Chromosome
GCF_011307595.1,Chromosome
GCF_011307695.1,Chromosome
GCF_011307715.1,Chromosome
GCF_012029805.1,Contig
GCF_012029995.1,Contig
GCF_012030625.1,Contig
GCF_012102495.1,Scaffold
GCF_012641685.1,Contig
GCF_012843325.1,Contig
GCF_013317125.1,Complete Genome
GCF_014156385.1,Scaffold
GCF_014265185.1,Contig
GCF_014265205.1,Contig
GCF_014265225.1,Contig
GCF_014265235.1,Contig
GCF_014265285.1,Contig
GCF_014265305.1,Contig
GCF_014265315.1,Contig
GCF_014265325.1,Contig
GCF_014265335.1,Scaffold
GCF_014265365.1,Scaffold
GCF_014265405.1,Contig
GCF_014265445.1,Scaffold
GCF_014265485.1,Contig
GCF_014265545.1,Scaffold
GCF_014265645.1,Contig
GCF_014265655.1,Contig
GCF_014265665.1,Contig
GCF_014265785.1,Scaffold
GCF_014265825.1,Contig
GCF_014265845.1,Contig
GCF_014265865.1,Scaffold
GCF_014265905.1,Scaffold
GCF_014266035.1,Contig
GCF_014266135.1,Scaffold
GCF_014266265.1,Contig
GCF_014266325.1,Contig
GCF_014266415.1,Scaffold
GCF_014266425.1,Scaffold
GCF_014266535.1,Scaffold
GCF_014266565.1,Scaffold
GCF_014266605.1,Scaffold
GCF_014266795.1,Contig
GCF_014267055.1,Scaffold
GCF_014267185.1,Contig
GCF_014267225.1,Contig
GCF_014323365.1,Contig
GCF_014323385.1,Scaffold
GCF_014334295.1,Complete Genome
GCF_014436665.1,Contig
GCF_014489335.1,Complete Genome
GCF_014490515.1,Complete Genome
GCF_015070395.1,Contig
GCF_015070555.1,Contig
GCF_015070585.1,Contig
GCF_015070605.1,Contig
GCF_015070675.1,Contig
GCF_015070735.1,Contig
GCF_015221215.1,Contig
GCF_015221265.1,Contig
GCF_015273045.1,Contig
GCF_015273085.1,Contig
GCF_015273105.1,Contig
GCF_015273135.1,Contig
GCF_015273145.1,Contig
GCF_015273175.1,Contig
GCF_015273185.1,Contig
GCF_015273195.1,Contig
GCF_015273235.1,Contig
GCF_015273245.1,Contig
GCF_015273275.1,Contig
GCF_015273285.1,Contig
GCF_015273295.1,Contig
GCF_015273335.1,Contig
GCF_015273345.1,Contig
GCF_015273365.1,Contig
GCF_015273385.1,Contig
GCF_015273415.1,Contig
GCF_015273495.1,Contig
GCF_015273505.1,Contig
GCF_015273525.1,Contig
GCF_015273535.1,Contig
GCF_015273575.1,Contig
GCF_015273585.1,Contig
GCF_015273595.1,Contig
GCF_015273605.1,Contig
GCF_015273655.1,Contig
GCF_015273665.1,Contig
GCF_015273735.1,Contig
GCF_015273785.1,Contig
GCF_015273805.1,Contig
GCF_015273815.1,Contig
GCF_015273855.1,Contig
GCF_015273865.1,Contig
GCF_015273875.1,Contig
GCF_015273895.1,Contig
GCF_015274155.1,Contig
GCF_015274195.1,Contig
GCF_015274235.1,Contig
GCF_015274255.1,Contig
GCF_015274265.1,Contig
GCF_015274275.1,Contig
GCF_015274285.1,Contig
GCF_015274325.1,Contig
GCF_015274355.1,Contig
GCF_015274385.1,Contig
GCF_015274425.1,Contig
GCF_015274455.1,Contig
GCF_015274475.1,Contig
GCF_015274485.1,Contig
GCF_015274505.1,Contig
GCF_015274555.1,Contig
GCF_015274575.1,Contig
GCF_015274615.1,Contig
GCF_015274625.1,Contig
GCF_015274735.1,Contig
GCF_015274775.1,Contig
GCF_015274785.1,Contig
GCF_015274795.1,Contig
GCF_015274835.1,Contig
GCF_015274905.1,Contig
GCF_015551345.1,Scaffold
GCF_015645075.1,Contig
GCF_015645085.1,Contig
GCF_015645175.1,Contig
GCF_015645215.1,Contig
GCF_015670055.1,Scaffold
GCF_015698535.1,Contig
GCF_015698585.1,Contig
GCF_015698595.1,Contig
GCF_016026915.1,Complete Genome
GCF_016107415.1,Contig
GCF_016107425.1,Contig
GCF_016406225.1,Complete Genome
GCF_016406625.1,Complete Genome
GCF_016727385.1,Complete Genome
GCF_016808435.1,Scaffold
GCF_016808455.1,Scaffold
GCF_016808475.1,Scaffold
GCF_016808495.1,Scaffold
GCF_016808515.1,Scaffold
GCF_016808535.1,Scaffold
GCF_016808555.1,Scaffold
GCF_016808565.1,Scaffold
GCF_016808655.1,Scaffold
GCF_016808675.1,Contig
GCF_016808695.1,Scaffold
GCF_016808735.1,Scaffold
GCF_016808755.1,Contig
GCF_016808775.1,Scaffold
GCF_016808795.1,Scaffold
GCF_016808815.1,Scaffold
GCF_016808825.1,Scaffold
GCF_016808855.1,Scaffold
GCF_016808875.1,Scaffold
GCF_016808925.1,Scaffold
GCF_016808955.1,Scaffold
GCF_016808975.1,Scaffold
GCF_016809015.1,Contig
GCF_016809035.1,Contig
GCF_016809055.1,Scaffold
GCF_016809075.1,Scaffold
GCF_016809095.1,Scaffold
GCF_016809105.1,Scaffold
GCF_016809135.1,Scaffold
GCF_016809155.1,Scaffold
GCF_016809175.1,Scaffold
GCF_016809185.1,Scaffold
GCF_016809195.1,Scaffold
GCF_016809235.1,Scaffold
GCF_016809255.1,Scaffold
GCF_016809275.1,Contig
GCF_016809295.1,Scaffold
GCF_016809315.1,Scaffold
GCF_016809325.1,Contig
GCF_016809365.1,Scaffold
GCF_016809395.1,Scaffold
GCF_016809415.1,Scaffold
GCF_016809435.1,Scaffold
GCF_016809455.1,Contig
GCF_016809475.1,Scaffold
GCF_016834475.1,Complete Genome
GCF_016834495.1,Complete Genome
GCF_016889165.1,Complete Genome
GCF_016903555.1,Complete Genome
GCF_016903575.1,Complete Genome
GCF_016904135.1,Complete Genome
GCF_017167385.1,Scaffold
GCF_017315545.1,Contig
GCF_017315595.1,Contig
GCF_017498735.1,Scaffold
GCF_017583025.1,Contig
GCF_018407685.1,Contig
GCF_018407805.1,Contig
GCF_018407885.1,Contig
GCF_018407945.1,Contig
GCF_018408135.1,Contig
GCF_018919325.1,Contig
GCF_018919425.1,Contig
GCF_019149045.1,Contig
GCF_019149245.1,Contig
GCF_019165085.1,Contig
GCF_019329245.1,Complete Genome
GCF_019329325.1,Complete Genome
GCF_019329365.1,Complete Genome
GCF_019329405.1,Complete Genome
GCF_019329425.1,Complete Genome
GCF_019329505.1,Complete Genome
GCF_019329525.1,Complete Genome
GCF_019329545.1,Complete Genome
GCF_019329565.1,Complete Genome
GCF_019329585.1,Complete Genome
GCF_019329605.1,Complete Genome
GCF_019329625.1,Complete Genome
GCF_019329645.1,Complete Genome
GCF_019329665.1,Complete Genome
GCF_019329685.1,Complete Genome
GCF_019329705.1,Complete Genome
GCF_019329725.1,Complete Genome
GCF_019329745.1,Complete Genome
GCF_019329765.1,Complete Genome
GCF_019329785.1,Complete Genome
GCF_019329805.1,Complete Genome
GCF_019330045.1,Complete Genome
GCF_019330105.1,Complete Genome
GCF_019330125.1,Complete Genome
GCF_019330145.1,Complete Genome
GCF_019330165.1,Complete Genome
GCF_019330185.1,Complete Genome
GCF_019330205.1,Complete Genome
GCF_019330225.1,Complete Genome
GCF_019330245.1,Complete Genome
GCF_019787665.1,Complete Genome
GCF_019836385.2,Contig
GCF_019836425.2,Scaffold
GCF_020181395.1,Complete Genome
GCF_020682885.1,Contig
GCF_020682905.1,Contig
GCF_021188745.1,Contig
GCF_021190395.1,Contig
GCF_021190495.1,Contig
GCF_021190595.1,Contig
GCF_021190695.1,Contig
GCF_021190975.1,Contig
GCF_021191135.1,Contig
GCF_021191175.1,Contig
GCF_021191255.1,Contig
GCF_021191295.1,Contig
GCF_021191715.1,Contig
GCF_021215415.1,Contig
GCF_021292185.1,Contig
GCF_021366715.1,Contig
GCF_021366835.1,Contig
GCF_021366885.1,Contig
GCF_021367085.1,Contig
GCF_021367675.1,Contig
GCF_021367815.1,Contig
GCF_021384785.1,Contig
GCF_021398305.1,Complete Genome
GCF_021398325.1,Complete Genome
GCF_021398345.1,Complete Genome
GCF_021484865.1,Complete Genome
GCF_021496015.1,Complete Genome
GCF_021496035.1,Complete Genome
GCF_021496075.1,Complete Genome
GCF_021513035.1,Complete Genome
GCF_021513055.1,Complete Genome
GCF_021513075.1,Complete Genome
GCF_021513095.1,Complete Genome
GCF_021513115.1,Complete Genome
GCF_021728775.1,Contig
GCF_021728835.1,Contig
GCF_021728865.1,Contig
GCF_022214875.1,Scaffold
GCF_022352465.1,Contig
GCF_022352485.1,Contig
GCF_022352535.1,Contig
GCF_022352605.1,Contig
GCF_022352615.1,Contig
GCF_022352685.1,Contig
GCF_022352705.1,Contig
GCF_022352725.1,Contig
GCF_022352745.1,Contig
GCF_022352845.1,Contig
GCF_022352855.1,Contig
GCF_022352885.1,Contig
GCF_022352895.1,Contig
GCF_022352925.1,Contig
GCF_022352985.1,Contig
GCF_022353005.1,Contig
