;genome;number_of_records;unknown;staphyloferrin A;staphyloferrin B;staphylopine
GCF_001837525.1;Staphylococcus sp. HMSC069E09;1;0;50.0;0;0
GCF_022689145.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_024104475.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_022568955.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_022568975.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_001839145.1;Staphylococcus sp. HMSC62D11;1;0;50.0;0;0
GCF_022569055.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_024104495.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_022569035.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_001836725.1;Staphylococcus sp. HMSC061C10;1;0;50.0;0;0
GCF_022569095.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_008728795.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_001839345.1;Staphylococcus sp. HMSC73C01;1;0;50.0;0;0
GCF_022569015.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_000649125.1;Staphylococcus lugdunensis VCU148;1;0;50.0;0;0
GCF_022689425.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_001837575.1;Staphylococcus sp. HMSC070D07;1;0;50.0;0;0
GCF_022689185.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_022568985.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_001813495.1;Staphylococcus sp. HMSC068D05;1;0;50.0;0;0
GCF_022568915.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_022569085.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_024104375.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_030230405.1;Staphylococcus lugdunensis;0;0;0.0;0;0
GCF_022689205.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_002096075.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_002096135.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_014962425.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_022689335.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_022569175.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_001837025.1;Staphylococcus sp. HMSC063D03;1;0;50.0;0;0
GCF_001836895.1;Staphylococcus sp. HMSC062E08;1;0;50.0;0;0
GCF_022689225.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_022689545.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_002250095.2;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_001837105.1;Staphylococcus sp. HMSC063F10;1;0;50.0;0;0
GCF_000316075.2;Staphylococcus lugdunensis ACS-027-V-Sch2;1;0;50.0;0;0
GCF_002096975.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_025152445.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_022689385.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_000542395.1;Staphylococcus lugdunensis UCIM6116;1;0;50.0;0;0
GCF_026427455.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_022689465.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_022569275.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_008728815.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_001808805.1;Staphylococcus sp. HMSC077C04;1;0;50.0;0;0
GCF_002591215.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_030225285.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_900474705.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_024104415.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_022689495.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_022569245.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_022689365.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_004329485.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_008728775.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_001546615.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_026427515.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_026427475.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_001837155.1;Staphylococcus sp. HMSC064A01;1;0;50.0;0;0
GCF_022689485.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_001836305.1;Staphylococcus sp. HMSC055G07;1;0;50.0;0;0
GCA_030217885.1;Staphylococcus lugdunensis;1;0;25.0;0;0
GCF_001836835.1;Staphylococcus sp. HMSC062A05;1;0;50.0;0;0
GCF_022568935.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_022569075.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_000649085.1;Staphylococcus lugdunensis VCU150;1;0;50.0;0;0
GCF_900478255.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_020682785.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_001839425.1;Staphylococcus sp. HMSC74F12;1;0;50.0;0;0
GCF_001836955.1;Staphylococcus sp. HMSC063A07;1;0;50.0;0;0
GCF_008728735.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_001558815.2;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_016804245.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_002096155.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_001836885.1;Staphylococcus sp. HMSC062D12;1;0;50.0;0;0
GCF_022569235.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_002096115.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_002097035.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_022689305.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_022689605.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_024104395.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_001813905.1;Staphylococcus sp. HMSC073C12;1;0;50.0;0;0
GCF_000025085.1;Staphylococcus lugdunensis HKU09-01;1;0;50.0;0;0
GCF_024104455.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_022689285.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_026427435.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_001812415.1;Staphylococcus sp. HMSC077E11;1;0;50.0;0;0
GCF_009931395.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_001814565.1;Staphylococcus sp. HMSC068G03;1;0;50.0;0;0
GCF_024104505.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_022689125.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_023508875.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_022569155.1;Staphylococcus lugdunensis;1;0;50.0;0;0
GCF_001838955.1;Staphylococcus sp. HMSC55D02;1;0;50.0;0;0
GCF_000270465.1;Staphylococcus lugdunensis N920143;1;0;50.0;0;0
GCF_016808995.1;Staphylococcus lugdunensis;1;0;50.0;0;0
